product_name,price,category
Laptop,999.99,Electronics
Smartphone,599.99,Electronics
Headphones,149.99,Accessories
Tablet,299.99,Electronics
Smartwatch,199.99,Electronics
Wireless Mouse,29.99,Accessories
Bluetooth Speaker,79.99,Accessories
Gaming Laptop,1499.99,Electronics
Camera,499.99,Electronics
Printer,129.99,Electronics
External Hard Drive,79.99,Accessories
Fitness Tracker,59.99,Electronics
Desk Chair,89.99,Furniture
Coffee Maker,49.99,Appliances
Toaster,19.99,Appliances
Blender,39.99,Appliances
Microwave,69.99,Appliances
Dumbbells Set,49.99,Fitness
Yoga Mat,19.99,Fitness
Running Shoes,79.99,Fitness
Backpack,39.99,Accessories
Office Desk,129.99,Furniture
Desk Lamp,24.99,Accessories
HD TV,499.99,Electronics
Game Console,299.99,Electronics
Gaming Chair,149.99,Furniture
Sunglasses,59.99,Fashion
Watch,129.99,Fashion
Winter Jacket,89.99,Fashion
Hiking Boots,69.99,Fashion
